file_num	elab_line	worker_num	question	target_line	target
1036	31	0	What did Muir think appreciating the mountains would do for people?	29	appreciate their mountains
1036	48	2	What did she want to say by saying  ''He was a man of his times''?	47	''He was a man of his times,'' she said.
1036	49	2	Prejudices against who did they have?	48	Many people in his time had prejudices.
1037	6	2	How does she help?	5	She helps teens.
1036	48	0	What made him a man of his time?	47	man of his times
1036	49	0	What are prejudices?	48	prejudices
1037	6	0	What are some of Walsh's other goals?	3	Walsh's main goal
1037	7	2	Who else does she help besides teens?	5	She helps teens.
1037	9	2	Why does she help the children of soldiers?	7	She also helps the children of soldiers.
1039	3	2	How did Michael Borwn's community feel about his death?	0	Michael Brown was shot.
1037	7	1	What category of kids Walsh help?	3	give free clothes to kids
1037	9	1	What is the problem faced by soldiers coming back from war?	8	come back from war
1039	3	1	What was the reaction to this shooting?	0	African-American teenager named Michael Brown was shot
1039	6	4	What did they do at the protests?	4	They held protests
1039	10	4	Given the gear the police wore, how were they perceived?	9	armored cars, large guns and body armor
1039	14	4	Why does the relationship between police and communities need fixing?	13	fix the relationship
1039	6	5	What was the reaction to how the police treated people of the town?	5	police treat the people
1039	10	5	How was the police seen as with their large guns and body armor?	9	large guns and body armor
1039	14	5	Why was there a need to fix the relationship between police forces and the communities?	13	police forces and the communities
104	15	2	How was the drone controlled?	14	The drone used an advanced computer system.
1040	10	2	What did _Newsela do about the answers given by Johanson and Lucy's dicovery?	8	He spoke about how Lucy's discovery changed what scientists thought about early humans
1040	11	2	How did _Newsela adapted the answers?	10	_Newsela has adapted the answers given by Johanson
104	15	1	How did the drone navigate its way to aircraft carrier?	12	landed on an aircraft carrier
1040	10	1	How is the discussion by Johanson made easier to understand for people?	9	He also discussed what he hopes to find next
1040	11	1	How did _Newsela adapt answers of Johanson?	10	_Newsela has adapted the answers
1040	51	1	Where else might scientists look?	47	Scientists will look in Ethiopia
1041	6	1	How does government provide national security?	5	government protects our national security
1042	10	1	How does GPS track a person?	9	knows where the person is through GPS
1040	51	0	Where else might they look for fossils of early humans?	49	find fossils of early humans
1041	6	0	How does the government protect our national security?	5	government protects our national security
1042	10	0	How does GPS know where a person is?	9	where the person is through GPS
1042	11	3	What is on nearly every cellphone?	9	GPS
1044	11	3	What does it mean to pardon a turkey?	9	a yearly presidential tradition
1044	25	3	How can the symbolism of Obama being the first African-American president be described?	24	Obama
1042	11	0	How does a GPS help drivers know where people are?	9	driver knows where the person is through GPS
1044	11	0	What happens to a pardoned turkey?	9	pardoning a Thanksgiving turkey
1044	25	0	What is the symbolism associated with the first African-American president besides important?	24	first African-American president, he carries important symbolism
1045	2	3	What is a calorie?	3	Too many calories can make people gain weight
1045	26	3	What can too much body fat cause?	25	Too much body fat is unhealthy
1046	7	3	What happens when the salt is removed from Ocean water?	3	fresh drinking water in the middle of California's drought
1045	2	2	Why can we find calorie counts listed on packaged foods?	0	Calorie counts must be listed on most packaged foods.
1045	26	2	What can body fat couse?	25	Too much body fat is unhealthy.
1046	7	2	Why remove salt from ocean water?	6	Machinery will remove salt from Pacific Ocean water.
1047	8	3	Why do they assemble?	6	Pearl Harbor.
1049	22	3	Why does Bedford's opinion matter?	21	Bedford's sense of what is a good apple and what is not
1053	15	3	What was Serova's response to some of the questions?	10	Russian reporters asked if she was taking makeup with her to space
1047	8	1	Why do the men gather in Pearl Harbor?	6	men gather in Pearl Harbor
1049	22	1	Why is Bedford's sense important?	21	sense of what is a good apple and what is not is important
1053	15	1	What does Serova's response indicate about her feeling?	13	she said: ''Why don't you ask the question about Alexander's hair?
1054	3	3	What does the CIA do?	2	The CIA is the U.S. agency that spies on groups and countries
1054	4	3	How does the CIA do its job?	3	gather information to keep the U.S. safe
1056	16	3	How did home-packed lunches differ from cafeteria lunches?	12	big differences between cafeteria food and packed lunches
1054	3	2	What is CIA's job?	2	The CIA is the U.S. agency that spies on groups and countries.
1054	4	2	How does CIA spy on groups and countries?	1	Their report detailed how the CIA questions enemies.
1056	16	2	Did home-packed lunches miss important food groups?	15	In other words, home-packed lunches were missing a lot of important food groups.
1056	17	3	What is in home packed lunches?	15	home-packed lunches
1056	24	3	What does being overweight lead to?	22	Children's nutrition
1056	33	3	Are Cafeteria lunches affordable?	34	Cafeteria lunches for elementary school students were actually cheaper than packed lunches
1056	17	5	What do you call lunches without important food groups?	15	missing a lot of important food groups
1056	24	5	What is the repercussion for being overweight?	23	overweight
1056	33	5	Were lunches affordable to purchase?	32	lunches cheap enough
1056	42	3	What might this study provide?	44	help educate parents about their food choices
1056	44	3	What does this study do for parents?	42	new study
1059	8	3	What is it called when one sucks up liquid?	5	how animals drink water
1056	42	0	What might help change the lunches parents send to school with their kids?	39	change what kind of food parents pack for their kids
1056	44	0	What might this study help to do?	42	study may be a good starting point
1059	8	0	What is it called when an animal drinks by sucking up water?	7	drink water by sucking it up
106	1	4	Why are state dinners fancy affairs?	0	a fancy affair
106	4	4	Once in the White House, where did the young guests go?	3	walked into the White House
106	6	4	How was the meal served?	5	an eight-course meal
106	1	3	Why are state dinners held?	0	state dinner at the White House
106	4	3	Where did the kids' state dinner take place?	2	White House hosted one just for kids
106	6	3	What was the dinner service like?	8	less formal
106	13	3	How many winners were there?	12	54 winners
106	14	3	Where were some winners from?	13	A winner was selected from every state.
106	29	3	What is obesity?	28	childhood [obesity](https://www.newsela.com/?tag=obesity) in America
106	13	2	Why do we they have 54 winners?	12	The 54 winners were invited
106	14	2	Were only winners from the states invited?	13	A winner was selected from every state
106	29	2	What is obesity?	28	childhood [obesity](https://www.newsela.com/?tag=obesity)
106	39	3	Name a type of sweet-tasting vegetable?	38	Black Bean Wrap with Jicama-Grilled Corn Salsa
106	57	3	What does tofu have a lot of?	56	Tofu
1062	4	3	Where are the protests happening?	0	People around the country are raising their voices in protest
106	39	5	Why did the chef decide to use Jicama Corn?	38	Jicama-Grilled Corn
106	57	5	What nutrient does Tofu give?	56	Tofu
1062	4	5	What event took place after the deaths of two black men?	5	deaths of two black men
1062	6	3	What do grand juries do?	7	decide if a person should be formerly accused of a crime
1062	7	3	What could a grand jury decide?	5	not to indict, or charge
1063	9	3	Who warned people that the British were coming to attack?	8	Paul Revere
1062	6	1	What is a grand jury?	5	Grand juries
1062	7	1	What is the function of grand jury?	6	grand jury
1063	9	1	Why did Paul Revere make horseback ride?	8	Paul Revere made a famous horseback ride
1064	12	4	Why are there big problems when musicians who are far apart try to play together online?	11	big problems
1064	25	4	What is the proper terminology for describing how the linked computers communicate?	24	group of computers linked
1064	29	4	Who is working on figuring out why they are this slow?	28	100 times slower
1064	12	0	What is one of the problems musicians have when trying to perform together from different places online?	11	problems when musicians in far-apart places try to perform together online.
1064	25	0	How do linked computers commmunicate with each other?	24	group of computers linked
1064	29	0	Why are signals slower than the speed of light?	27	Signals travel the Internet about 10 times slower than the speed of light
1064	55	0	What was special about the concert?	51	concert was possible for two reasons
1065	9	0	How do crocodiles get their genes?	7	each has its own set of genes
1065	10	0	What instructions do genes give?	8	Genes are the body's instructions
1064	55	1	What was the significance of concert?	51	concert was possible for two reasons
1065	9	1	How are the instructions carried forward?	8	Genes are the body's instructions
1065	10	1	What is the significance of genes?	8	Genes are the body's instructions
1066	11	0	How is the hottness of a pepper decided?	10	officially called the Carolina Reaper the hottest pepper
1067	2	0	What kind of aircraft do drones look like?	1	Drones are small flying aircraft
1067	47	0	What is being done to protect jets?	46	drone could bring down a jet
1066	11	3	How does one compare the hotness of peppers?	10	the hottest pepper in the world
1067	2	3	What do drones look like?	1	Drones
1067	47	3	How are the problems with drones being dealt with?	43	complaints about drones.
1069	40	2	How people of favela do Metro left?	39	the people of Favela do Metro were given very little time to leave.
1070	19	2	Are these all the findings about accidents with toys?	21	accidents with toys
1071	17	2	Why companies are making products from plants?	16	they are made from plants.
1069	40	3	How were the people of Favelo de Metro treated?	39	very little time to leave
1070	19	3	What did the scientists observe?	21	accidents with toys
1071	17	3	How do the plant products affect the planet?	16	made from plants.
1071	25	3	Why are farmers using computers?	26	want more technology to help them grow more food, and to save money
1071	43	3	What are the people in technology hoping to prevent?	38	might not be enough food in the future
1071	51	3	Why did Jorge Heraud start the Blue River Technology company?	52	Technology does the jobs that humans do
1071	25	4	What does the technology allow them to do?	23	like the technology
1071	43	4	Who is addressing the food shortage concern?	38	worries that there might not be enough food
1071	51	4	Who is making this technology?	50	As more technology is used
1072	11	0	What does a solar generator do?	10	solar generator
1072	13	0	What use would a solar generator be to someone?	12	teaching the kids at Tildenville how to build the generators
1072	21	0	What does Hall teach in her classes?	19	Hall teaches classes
1072	11	1	what is the function of the machine?	10	The machine
1072	13	1	In what situation can the generators be useful?	12	teaching the kids at Tildenville how to build the generators
1072	21	1	What does Hall teach about electricity?	19	Hall teaches classes about electricity
1072	31	3	Why was Hall excited to have her students build generators?	29	solar suitcases
1073	8	3	What makes up a country's economy?	7	changes in the economy
1073	23	3	How do oil producing countries decide how much oil to sell?	21	12 of the world's biggest oil-producing countries
1072	31	2	Why she wanted to show them to her college students?	30	She wanted to show them to her college students.
1073	8	2	Why is it difficult to understand changes in the economy?	7	They are trying to understand changes in the economy.
1073	23	2	What does a group of 12 of the world's  biggest oil-producing countries do?	21	There is a group of 12 of the world's biggest oil-producing countries
1073	64	1	What would be on the impact on states if oil companies lose money?	61	rely on money from oil companies
1074	26	1	How is the behavior of other cities regarding walking?	24	Walk First program
1075	7	1	What do Claudia's parents do as farmworkers?	6	farmworkers
1073	64	3	What will happen if states get less money from oil companies?	61	States such as Alaska, North Dakota, Oklahoma and Texas rely on money from oil companies
1074	26	3	Did Philadelphia implement plans to make walking safer?	29	e-lanes
1075	7	3	What do farmworkers do?	6	farmworkers
1075	21	2	Why her grades are lower at the other school?	20	Her grades are lower at the other.
1077	5	2	Does communsm make everyone equal?	4	Castro said communism would make everyone equal.
1077	13	2	How is Gross now?	11	Gross, who is 65 years old, has already been sent home.
1075	21	3	What is the effect on students of switching schools?	18	two different schools
1077	5	3	What is the true impact of communism?	4	Castro said communism would make everyone equal
1077	13	3	How is Gross' health?	14	He is weak and can barely walk
1077	14	3	How is Gross' health?	9	Gross is an American who has been in a Cuban jail for five years
1077	16	3	What was Gross protesting?	15	In Cuba, he had refused medical care, food and visits from American officials
1078	12	3	What beverages are replacing milk?	9	three reasons why milk is not selling very well.
1077	14	5	What physical signs help prove that Gross was in bad health?	13	bad health
1077	16	5	Why did he reject help from American officials?	15	American officials
1078	12	5	What were two type of new drink choices?	11	new drink choices
1078	30	3	What might customers want from their milk?	26	new kinds of milk drinks need to be created
1078	34	3	What might motivate children to drink more milk?	33	Milk companies are trying to get children to drink more milk
1079	3	3	What were scientists trying to determine?	2	study showed that if teens have jobs, the number of violent crimes they do may go down
1078	30	1	What kind of thing people may look for while buying drink?	29	what people look for when they choose a drink
1078	34	1	What might make kids drink milk according to milk companies?	33	get children to drink more milk
1079	3	1	Why was the study conducted?	2	study showed that if teens have jobs, the number of violent crimes they do may go down
1079	12	2	What did the scientists do with the number of arrests by teens in the study?	11	The scientists looked at the number of arrests by the teens in the study.
1079	26	2	How did the mentor help?	25	The adult was a mentor.
1079	33	2	What researchers will need to do to know if the program was a good use of money?	32	Heller said it was too soon to know if the program was a good use of money.
1079	12	3	To what did the researchers compare the number of arrests by teens who were part of the study?	9	1,634 teens who wanted to take part in the study
1079	26	3	What did the mentor do?	24	an adult to help them out
1079	33	3	What do researchers need to do going forward?	32	too soon to know if the program was a good use of money
1080	17	3	What was the intention behind the movie?	12	The movie
1083	10	3	What is the money taken by the Government called?	9	Governments take a little bit of money every time something is sold
1083	42	3	What is his role in Hungary?	41	Economy Minister Mihaly Varga
1080	17	5	What reaction was the producer of the movie that was made expecting its audience to experience?	13	movie was made
1083	10	5	What is the little bit of money taken by government called?	9	Governments take a little bit of money
1083	42	5	What is the role of Economy Minister Mihaly Varga?	41	Economy Minister
1084	12	4	What is Warner Music in Asia?	11	Warner Music in Asia
1085	10	4	What is the name of their new company?	9	started their new company
1087	35	4	What is the government's idea?	34	an idea
1084	12	3	What does Warner Music do?	11	Warner Music
1085	10	3	What does Lazeez mean?	11	sells hot dogs, burgers and chicken sandwiches
1087	35	3	What did the government do?	34	an idea
1087	37	2	What is the government trying to do?	34	The government has an idea.
1089	29	2	How many shark attacks are there each year?	28	Shark attacks are very rare
1092	17	2	What Democrats and Republicans have in common?	16	Democrats and Republicans
1087	37	0	What is being done with the dams that were made?	35	made its own dams
1089	29	0	How rare are shark attacks?	28	Shark attacks are very rare
1092	17	0	What does it mean to belong to a political party?	16	belong to political parties
1092	18	1	what is the similarity in behavior of members of each party?	17	same ideas
1094	24	1	What makes Goalball game rough?	23	rough game
1095	6	1	What is the function of archaeologists?	5	archaeologists
1092	18	5	What do each party members have in common?	17	Members of each party
1094	24	5	Why is goalball rough?	23	Goalball
1095	6	5	What job do Archaeologists do?	5	archaeologists
110	5	3	Does the choice make sense?	2	Churchill's face will appear on the back of the 5-pound note
110	31	3	What character did she create?	30	J.K. Rowling
1100	3	3	Who else watches what the US says and does?	2	Other nations watch and listen
110	5	5	Was the decision to put Churchill's face on some of Britain's money a reasonable one?	0	Winston Churchill's face
110	31	5	Which character did Agatha Christie create?	29	Agatha Christie
1100	3	5	Which other entity watched and listens?	2	watch and listen
1102	23	5	Why can the government not be held accountable by its citizens?	24	force the government to change
1102	48	5	Where did China decide to cut pollution?	43	China has promised to cut pollution
1102	53	5	What else did China do to cut pollution?	52	China did it by shutting down polluting factories
1102	23	3	Who controls the courts in China?	21	In China, there is no democracy
1102	48	3	What took place in Beijing?	49	Many countries were invited
1102	53	3	What environmental measures did China implement before the meeting?	50	Chinese government made a huge effort to clear the air
1103	21	3	How do government grants for college today compare to grants given in the past?	20	past 30 years, the cost has almost tripled
1104	4	3	When was Winnie-the-Pooh written?	3	''Winnie-the-Pooh'' is a book by A.A. Milne
1104	27	3	What do people think about Pooh being in a United States library?	28	Pooh should return to England
1103	21	1	Why is cost increase a problem for students?	20	cost has almost tripled
1104	4	1	When was the book written?	3	book
1104	27	1	How do people view presence of bear at Library in New York?	24	ended up at the library in New York
1104	39	0	Should Pooh be in New York or England?	40	Should Pooh stay in New York or go back to England
1105	12	0	What does Charlie Hebdo do that makes people mad?	11	Charlie Hebdo has stirred up a lot of anger
1105	14	0	Why were people wearing signs?	13	people in France wore signs
1104	39	1	What is the opinion of reader on this?	34	Pooh should stay in New York
1105	12	1	What has Charlie hebdo done that stirred up anger?	11	Charlie Hebdo has stirred up a lot of anger
1105	14	1	Why did people in France wear sign that said ''Je suis Charlie''?	13	people in France wore signs that said ''Je suis Charlie.
1105	15	5	Why were people motivated to display ''Je suis Charlie'' signs?	13	Je suis Charlie
1106	1	5	Why do teams prefer to move to Los Angeles?	2	move to Los Angeles
1106	24	5	How were the NFL stadiums able to be completely built?	23	27 NFL stadiums have been built
1105	15	1	Why did people wear sign that said ''Je suis Charlie''?	13	many people in France wore signs
1106	1	1	What is the place of Los Angeles in National Football League?	0	no National Football League (NFL) team in Los Angeles
1106	24	1	Who pays the cost of stadiums?	23	stadiums have been built or fixed up
1108	11	3	What did the Air Force analysts discover?	13	Islamic State group was fighting Iraq's military
1109	16	3	What did the case for Sandra seem like?	13	animal rights
1113	31	3	How did people perceive the free climbing of the Dawn Face wall?	33	Dawn Face has little for a climber to grab on to
1108	11	5	What important event happened as the analyst studied the video?	14	The analysts studied the video
1109	16	5	What type of case was filed for Sandra?	14	court case for Sandra
1113	31	5	What was the general consensus on free climbing the Dawn Face Wall?	30	free climb the Dawn Face wall
162	8	0	Who gave Tesla their government safety test score?	3	the best score ever on government safety tests
162	38	0	Who didn't think Tesla would do as well as it has done?	39	more money than they had expected.
870	4	0	Where are Liberia and Sierra Leone?	3	Liberia and Sierra Leone
162	8	1	What is National Highway Transportation Safety Administration?	5	National Highway Transportation Safety Administration
162	38	1	What is the job of analysts on Wall Street?	39	more money than they had expected
870	4	1	Where are Liberia and Sierra Leone located?	3	Liberia and Sierra Leone
162	8	5	Who is the NHTSA?	10	NHTSA
162	38	5	Which entities foretold how much money Tesla might make?	39	Tesla made more money than they had expected
870	4	5	Where are Liberia and Sierra Leone located?	3	Liberia and Sierra Leone
870	27	5	What are the symptoms of people infected with Ebola?	26	Ebola
870	28	5	What sort of damage does Ebola disease do to the human body?	26	Ebola
486	33	5	Why is everyone excited that Lipnitskaia might win a gold medal in next week's ladies singles event?	30	favorite to win a gold medal in next week's ladies singles event
870	27	0	What happens when someone gets Ebola?	22	worker catches Ebola
870	28	0	Why are doctors and nurses afraid of getting Ebola?	23	doctors and nurses are afraid of getting Ebola
486	33	0	What has Russia not won in?	32	long history of winning
870	27	3	How do people with Ebola feel?	26	run a fever
870	28	3	What can Ebola cause?	27	muscle pain and headaches
486	33	3	What skating event has never been won by a Russian woman?	32	long history of winning pairs, ice dancing and men's skating
1154	10	4	What happens to the released gasses?	9	releases gasses
846	20	4	What precedent would make the stoppage of trade seem like a reasonable possibility?	19	stop trading
846	25	4	What developments have occurred since the blocks were put in place?	20	already some blocks
1154	10	5	What happens to the gasses released?	9	it releases gasses
846	20	5	Are there any trade blocks on Russia?	21	trade blocks
846	25	5	What major incident happened that gave rise to block trades from Russia?	21	trade blocks
1154	10	0	What happens to the gasses we release burning gas, oil, or coal?	9	it releases gasses
846	20	0	Has Russia had any trading stopped with them yet?	19	countries to stop trading with Russia
846	25	0	What happened when a plane was shot down with a Russian missile?	28	rebels shot down the plane with a Russian missile
361	18	0	What is one of the government parties called?	17	government is split into two parties
361	20	0	What is one of the two government parties called?	17	government is split into two parties
361	38	0	Why did Cesar Chavez want to raise public awareness?	36	raising public awareness like labor leader Cesar Chavez once did
361	18	4	What is an example of one of these parties?	17	two parties
361	20	4	What is the name of the other party?	18	One party is
361	38	4	Why were the farm workers open to organization?	37	organized farm workers
361	18	1	Which party believes it should be easier to enter United States?	19	it should be easier to come to the United States
361	20	1	Which party believes it should be harder to enter United States?	21	it should be harder to come live in the United States
361	38	1	Why did Chavez organize farm workers?	37	Chavez organized farm workers
746	5	4	What organization is the new center affiliated with?	4	the new Culinary Literacy Center
746	13	4	How did she emphasize that this was important?	12	learn to read
746	16	4	What does it mean for a person to be ''low literate''?	14	low literate
746	5	1	Where is Culinary Literacy Center located?	4	Culinary Literacy Center
746	13	1	What did Siobhan Reardon tell?	10	Siobhan Reardon
746	16	1	What is ''low literate''?	14	low literate
746	5	0	What is the new Culinary Literacy Center?	4	new Culinary Literacy Center
746	13	0	What did Reardon say about people learning to read?	12	learn to read
746	16	0	What does it mean if someone is ''low literate''?	14	known as ''low literate
261	37	0	What was interesting about her life after the social revolution?	36	life after the social revolution
707	5	0	Do the scientist know why the mountains are rising faster?	2	scientists found that the mountains closest to the Central Valley were rising faster than expected
865	1	0	What did Stephen Buckley and Jana Jones do?	2	what Stephen Buckley and Jana Jones did
261	37	1	What change did social revolution of the 1960s bring in people's lives?	36	social revolution of the 1960s
707	5	1	What is scientists' reaction to this unusual mountain growth?	4	added up to about half a foot
865	1	1	How should mummies be studied to make discoveries?	0	mummy
261	37	5	What happened during the social revolution of the 1960s?	36	social revolution of the 1960s
707	5	5	Do scientists have any idea why the mountains were rising faster than expected?	2	mountains closest to the Central Valley were rising faster
865	1	5	What did Stephen Buckley and Jana Jones do recently that should be imitated?	2	Stephen Buckley and Jana Jones
865	2	1	Who recently discovered interesting things about mummy?	1	discover something interesting
865	5	1	What are the respective specialties of Buckley and Jones?	3	Buckley and Jones
865	13	1	What was the reaction of scientists when they looked at cloth fabric under microscope?	11	look at the small pieces of fabric
865	2	4	Can you provide an example of people who have taken these steps?	1	look a little closer, you will discover
865	5	4	What are their specific concentrations within science and archeology?	3	scientists and archaeologists
865	13	4	What was the reaction to this discovery?	12	bone and skin were stuck to the cloth
865	2	5	Which scientists looked a little closer to discover something interesting?	1	If you look a little closer, you will discover something interesting
865	5	5	What did Buckley and Jones specialize in?	3	Buckley and Jones
865	13	5	How did the scientists react when they found the clues they were looking for?	10	The scientists were looking for clues
865	14	5	What type of clues did the scientists find on the cloths of the Egyptian mummies?	10	scientists were looking for clues
865	19	5	What was the significance of Buckley and Jones discovering that mummies were actually made 1500 years earlier compared to other scientists' findings?	21	1,500 years earlier than many scientists had thought they began making mummies
865	25	5	Why does Buckley want to learn more about how the Egyptians buried their dead from 4300 B.C.?	27	to learn how the Egyptians developed their way of burying the dead over the years
865	14	4	What did Buckley and Jones find?	13	what they found
865	19	4	What did people say about the discoverers of this chemical protection connection?	18	chemicals would help protect
865	25	4	What is a main component of this work?	24	works
865	14	1	What did Buckley and Jones find on cloth?	13	Buckley and Jones were surprised by what they found
865	19	1	Who discovered the chemicals and their function?	18	chemicals
865	25	1	What is the nature of scientists like Buckley and Jones?	24	Jones
889	33	5	What can inhaling high levels of carbon monoxide cause?	32	high levels of carbon monoxide
1129	16	5	What was Chavez blamed for when he was president?	15	When Chavez was president
1129	20	5	What happened to the school children when the vice president took over?	19	vice president took over
889	33	0	Why is hookah  smoking not safe?	29	definitely not safe
1129	16	0	How did Chavez turn Venezuela into a socialist country?	11	turned Venezuela into a socialist country
1129	20	0	What reminds them about being mad about the school books?	21	still angry about their school books
889	33	1	What can be the harmful health effects of hookah smoking?	32	Hookah smoke
1129	16	1	What is Chavez's government accused of?	15	Chavez
1129	20	1	Why are Venezuelans discovering talks about Chavez in school books now?	21	books talk about Chavez
1137	16	0	What do they mean by contagious?	15	contagious
1137	37	0	How long did it take for the students to comply?	36	had to get the shot, or prove they had gotten it before
216	29	0	Why are some people against giving prizes for being nice?	28	prizes for being nice sends the wrong message
1137	16	1	What does contagious disease mean?	15	contagious
1137	37	1	What was the effect of shot on students?	36	students either had to get the shot
216	29	1	What is the problem with giving prize for being nice?	28	giving prizes for being nice sends the wrong message
1137	16	5	Why is measles deemed to be very contagious?	15	very contagious
1137	37	5	How soon did the 50,000 students told to stay home return to school?	35	50,000 students in Los Angeles County were told to stay home from school
216	29	5	Why do people disagree about giving prizes for being nice?	28	Others worry that giving prizes for being nice sends the wrong message
160	5	5	Why is Christie concerned about the law?	6	concerns about the law
160	22	5	What was Christie's response when asked about signing the bill?	21	Christie was asked about signing the bill
512	3	5	What group of people can form a Union?	1	form a union
